detected_object,timestamp,weather,temperature_celsius,holiday,location
paper,2025-01-26 2:55:31,cloudy,4,0,development
plastic,2025-01-26 15:12:00,cloudy,4,0,development
organic,2025-01-26 0:48:10,cloudy,4,0,development
organic,2025-01-26 1:19:46,cloudy,4,0,development
paper,2025-01-26 3:47:33,cloudy,4,0,development
glass,2025-01-27 23:04:09,misty,1,0,development
paper,2025-01-27 4:44:14,misty,1,0,development
paper,2025-01-27 12:21:49,misty,1,0,development
metal,2025-01-27 21:07:09,misty,1,0,development
paper,2025-01-27 19:20:29,misty,1,0,development
organic,2025-01-27 6:36:07,misty,1,0,development
plastic,2025-01-27 4:01:25,misty,1,0,development
metal,2025-01-28 2:20:43,rainy,8,0,development
organic,2025-01-28 12:41:33,rainy,8,0,development
glass,2025-01-28 2:34:20,rainy,8,0,development
glass,2025-01-28 22:35:55,rainy,8,0,development
plastic,2025-01-28 11:49:14,rainy,8,0,development
organic,2025-01-28 14:12:22,rainy,8,0,development
organic,2025-01-28 18:26:20,rainy,8,0,development
organic,2025-01-29 23:15:19,sunny,2,0,development
metal,2025-01-29 14:34:47,sunny,2,0,development
metal,2025-01-29 19:14:45,sunny,2,0,development
glass,2025-01-29 8:02:49,sunny,2,0,development
plastic,2025-01-29 20:53:55,sunny,2,0,development
organic,2025-01-29 9:21:13,sunny,2,0,development
organic,2025-01-29 0:35:43,sunny,2,0,development
glass,2025-01-29 3:31:56,sunny,2,0,development
plastic,2025-01-29 11:01:03,sunny,2,0,development
glass,2025-01-29 5:12:40,sunny,2,0,development
plastic,2025-01-29 17:50:20,sunny,2,0,development
paper,2025-01-29 10:09:36,sunny,2,0,development
organic,2025-01-29 22:12:26,sunny,2,0,development
plastic,2025-01-29 5:30:11,sunny,2,0,development
plastic,2025-01-29 3:48:21,sunny,2,0,development
plastic,2025-01-29 3:54:19,sunny,2,0,development
plastic,2025-01-29 5:21:57,sunny,2,0,development
plastic,2025-01-29 4:05:45,sunny,2,0,development
glass,2025-01-29 5:20:08,sunny,2,0,development
plastic,2025-01-30 7:36:46,cloudy,3,0,development
organic,2025-01-30 3:16:48,cloudy,3,0,development
glass,2025-01-30 9:12:25,cloudy,3,0,development
plastic,2025-01-30 18:56:11,cloudy,3,0,development
glass,2025-01-30 11:31:49,cloudy,3,0,development
plastic,2025-01-30 12:50:01,cloudy,3,0,development
paper,2025-01-30 13:18:25,cloudy,3,0,development
glass,2025-01-30 17:59:57,cloudy,3,0,development
organic,2025-01-30 20:10:13,cloudy,3,0,development
metal,2025-01-30 10:15:18,cloudy,3,0,development
plastic,2025-01-30 6:37:02,cloudy,3,0,development
plastic,2025-01-30 1:09:55,cloudy,3,0,development
plastic,2025-01-30 3:45:54,cloudy,3,0,development
plastic,2025-01-30 21:44:35,cloudy,3,0,development
paper,2025-01-30 9:49:33,cloudy,3,0,development
plastic,2025-01-30 1:35:43,cloudy,3,0,development
paper,2025-01-31 23:49:43,rainy,0,0,development
metal,2025-01-31 3:16:31,rainy,0,0,development
organic,2025-01-31 8:30:12,rainy,0,0,development
plastic,2025-02-01 2:52:12,snowy,3,0,development
plastic,2025-02-02 13:16:02,rainy,4,0,development
organic,2025-02-02 8:04:31,rainy,4,0,development
organic,2025-02-02 18:27:35,rainy,4,0,development
plastic,2025-02-02 21:20:45,rainy,4,0,development
plastic,2025-02-02 16:14:59,rainy,4,0,development
paper,2025-02-02 21:36:29,rainy,4,0,development
plastic,2025-02-02 2:04:38,rainy,4,0,development
plastic,2025-02-03 1:14:10,rainy,3,0,development
glass,2025-02-03 1:48:29,rainy,3,0,development
plastic,2025-02-03 6:46:06,rainy,3,0,development
plastic,2025-02-04 9:40:27,rainy,3,0,development
organic,2025-02-04 5:20:26,rainy,3,0,development
plastic,2025-02-04 9:09:09,rainy,3,0,development
organic,2025-02-05 7:34:31,misty,5,0,development
plastic,2025-02-05 5:34:11,misty,5,0,development
plastic,2025-02-05 15:18:40,misty,5,0,development
plastic,2025-02-05 21:14:03,misty,5,0,development
plastic,2025-02-05 23:01:28,misty,5,0,development
metal,2025-02-05 15:50:36,misty,5,0,development
paper,2025-02-05 23:20:23,misty,5,0,development
paper,2025-02-06 7:10:44,misty,5,0,development
metal,2025-02-06 14:01:12,misty,5,0,development
metal,2025-02-06 16:39:38,misty,5,0,development
glass,2025-02-06 14:43:52,misty,5,0,development
plastic,2025-02-06 5:12:32,misty,5,0,development
paper,2025-02-06 17:29:13,misty,5,0,development
paper,2025-02-06 21:22:29,misty,5,0,development
organic,2025-02-07 1:06:41,stormy,1,0,development
metal,2025-02-08 2:08:17,snowy,2,0,development
metal,2025-02-09 12:54:51,stormy,2,0,development
organic,2025-02-10 0:44:42,misty,5,0,development
organic,2025-02-10 9:06:54,misty,5,0,development
plastic,2025-02-10 1:51:28,misty,5,0,development
paper,2025-02-10 15:07:47,misty,5,0,development
plastic,2025-02-10 0:20:39,misty,5,0,development
paper,2025-02-10 18:31:16,misty,5,0,development
paper,2025-02-10 19:51:51,misty,5,0,development
plastic,2025-02-11 19:48:48,misty,4,0,development
organic,2025-02-11 12:06:19,misty,4,0,development
plastic,2025-02-11 12:17:24,misty,4,0,development
metal,2025-02-11 7:06:59,misty,4,0,development
organic,2025-02-11 18:03:14,misty,4,0,development
organic,2025-02-11 12:20:49,misty,4,0,development
organic,2025-02-11 16:18:00,misty,4,0,development
glass,2025-02-12 15:38:17,cloudy,1,0,development
paper,2025-02-12 7:16:19,cloudy,1,0,development
organic,2025-02-12 19:19:39,cloudy,1,0,development
paper,2025-02-12 11:43:17,cloudy,1,0,development
glass,2025-02-12 18:13:22,cloudy,1,0,development
glass,2025-02-12 10:28:38,cloudy,1,0,development
glass,2025-02-12 21:46:11,cloudy,1,0,development
paper,2025-02-12 16:05:46,cloudy,1,0,development
plastic,2025-02-12 13:27:03,cloudy,1,0,development
plastic,2025-02-12 9:38:55,cloudy,1,0,development
organic,2025-02-12 10:28:08,cloudy,1,0,development
plastic,2025-02-12 11:00:18,cloudy,1,0,development
plastic,2025-02-12 19:27:00,cloudy,1,0,development
glass,2025-02-12 18:55:16,cloudy,1,0,development
organic,2025-02-12 19:20:27,cloudy,1,0,development
plastic,2025-02-12 15:22:00,cloudy,1,0,development
organic,2025-02-13 5:56:50,snowy,1,0,development
organic,2025-02-14 7:26:02,cloudy,0,0,development
plastic,2025-02-14 13:35:28,cloudy,0,0,development
metal,2025-02-14 13:33:51,cloudy,0,0,development
glass,2025-02-14 18:49:21,cloudy,0,0,development
organic,2025-02-14 12:47:12,cloudy,0,0,development
organic,2025-02-14 0:55:25,cloudy,0,0,development
paper,2025-02-14 2:49:41,cloudy,0,0,development
organic,2025-02-14 8:44:34,cloudy,0,0,development
plastic,2025-02-14 2:12:59,cloudy,0,0,development
organic,2025-02-14 16:35:29,cloudy,0,0,development
glass,2025-02-14 3:56:15,cloudy,0,0,development
plastic,2025-02-14 20:55:29,cloudy,0,0,development
metal,2025-02-14 14:31:25,cloudy,0,0,development
plastic,2025-02-14 19:56:45,cloudy,0,0,development
plastic,2025-02-14 6:12:06,cloudy,0,0,development
organic,2025-02-14 21:06:17,cloudy,0,0,development
metal,2025-02-15 19:41:39,snowy,6,0,development
plastic,2025-02-15 10:55:21,snowy,6,0,development
paper,2025-02-15 10:33:19,snowy,6,0,development
glass,2025-02-15 23:26:18,snowy,6,0,development
organic,2025-02-15 14:17:17,snowy,6,0,development
plastic,2025-02-15 21:03:23,snowy,6,0,development
organic,2025-02-16 19:17:13,stormy,6,0,development
plastic,2025-02-16 8:33:52,stormy,6,0,development
organic,2025-02-16 9:46:47,stormy,6,0,development
plastic,2025-02-16 22:46:24,stormy,6,0,development
metal,2025-02-16 7:33:32,stormy,6,0,development
plastic,2025-02-16 10:38:56,stormy,6,0,development
plastic,2025-02-17 12:36:18,rainy,4,0,development
organic,2025-02-17 11:02:27,rainy,4,0,development
paper,2025-02-17 8:25:54,rainy,4,0,development
paper,2025-02-18 19:43:29,cloudy,5,0,development
metal,2025-02-18 1:58:08,cloudy,5,0,development
plastic,2025-02-18 18:51:44,cloudy,5,0,development
paper,2025-02-18 20:26:27,cloudy,5,0,development
organic,2025-02-18 4:51:08,cloudy,5,0,development
paper,2025-02-18 17:59:57,cloudy,5,0,development
plastic,2025-02-18 13:16:25,cloudy,5,0,development
metal,2025-02-18 12:48:05,cloudy,5,0,development
metal,2025-02-18 9:57:09,cloudy,5,0,development
glass,2025-02-18 20:57:43,cloudy,5,0,development
plastic,2025-02-18 9:37:29,cloudy,5,0,development
organic,2025-02-18 16:17:06,cloudy,5,0,development
organic,2025-02-18 1:43:33,cloudy,5,0,development
plastic,2025-02-18 1:10:10,cloudy,5,0,development
paper,2025-02-18 19:32:14,cloudy,5,0,development
plastic,2025-02-18 7:07:02,cloudy,5,0,development
plastic,2025-02-19 16:09:48,snowy,2,0,development
plastic,2025-02-20 9:17:54,snowy,3,0,development
plastic,2025-02-21 23:30:35,sunny,5,0,development
plastic,2025-02-21 13:09:17,sunny,5,0,development
organic,2025-02-21 11:56:40,sunny,5,0,development
plastic,2025-02-21 23:01:21,sunny,5,0,development
organic,2025-02-21 4:43:57,sunny,5,0,development
metal,2025-02-21 13:04:23,sunny,5,0,development
plastic,2025-02-21 14:28:13,sunny,5,0,development
plastic,2025-02-21 6:48:39,sunny,5,0,development
plastic,2025-02-21 17:35:22,sunny,5,0,development
paper,2025-02-21 0:00:39,sunny,5,0,development
glass,2025-02-21 2:23:50,sunny,5,0,development
plastic,2025-02-21 10:56:52,sunny,5,0,development
plastic,2025-02-21 21:52:27,sunny,5,0,development
plastic,2025-02-21 14:16:27,sunny,5,0,development
paper,2025-02-21 2:14:52,sunny,5,0,development
organic,2025-02-21 9:14:37,sunny,5,0,development
paper,2025-02-21 16:59:24,sunny,5,0,development
plastic,2025-02-21 21:01:51,sunny,5,0,development
organic,2025-02-21 16:32:21,sunny,5,0,development
paper,2025-02-22 0:33:40,snowy,6,0,development
organic,2025-02-22 13:47:38,snowy,6,0,development
glass,2025-02-22 14:20:24,snowy,6,0,development
organic,2025-02-22 14:21:43,snowy,6,0,development
paper,2025-02-22 2:15:21,snowy,6,0,development
organic,2025-02-22 16:22:44,snowy,6,0,development
plastic,2025-02-23 22:13:57,rainy,4,0,development
organic,2025-02-23 22:47:53,rainy,4,0,development
plastic,2025-02-23 17:38:04,rainy,4,0,development
plastic,2025-02-23 12:00:01,rainy,4,0,development
plastic,2025-02-23 0:22:17,rainy,4,0,development
plastic,2025-02-23 8:49:35,rainy,4,0,development
organic,2025-02-23 18:16:52,rainy,4,0,development
plastic,2025-02-24 20:24:24,cloudy,5,1,development
organic,2025-02-24 7:57:20,cloudy,5,1,development
plastic,2025-02-24 19:14:09,cloudy,5,1,development
glass,2025-02-24 14:08:24,cloudy,5,1,development
glass,2025-02-24 19:28:42,cloudy,5,1,development
plastic,2025-02-24 8:34:22,cloudy,5,1,development
plastic,2025-02-24 14:33:44,cloudy,5,1,development
glass,2025-02-24 6:37:30,cloudy,5,1,development
organic,2025-02-24 21:48:56,cloudy,5,1,development
plastic,2025-02-24 18:17:44,cloudy,5,1,development
plastic,2025-02-24 2:49:09,cloudy,5,1,development
metal,2025-02-24 7:37:08,cloudy,5,1,development
paper,2025-02-24 5:48:50,cloudy,5,1,development
plastic,2025-02-24 8:33:05,cloudy,5,1,development
plastic,2025-02-24 8:26:14,cloudy,5,1,development
glass,2025-02-24 16:50:42,cloudy,5,1,development
plastic,2025-02-24 21:39:54,cloudy,5,1,development
metal,2025-02-24 23:44:57,cloudy,5,1,development
paper,2025-02-24 2:48:25,cloudy,5,1,development
organic,2025-02-24 12:30:00,cloudy,5,1,development
glass,2025-02-24 12:19:11,cloudy,5,1,development
plastic,2025-02-24 4:11:47,cloudy,5,1,development
organic,2025-02-24 6:05:03,cloudy,5,1,development
plastic,2025-02-24 14:55:25,cloudy,5,1,development
plastic,2025-02-24 4:24:01,cloudy,5,1,development
plastic,2025-02-24 13:01:08,cloudy,5,1,development
metal,2025-02-24 3:35:26,cloudy,5,1,development
