id,detected_object,timestamp,weather,temperature_celsius,holiday,location
57,paper,2025-01-04 04:45:35,cloudy,4,0,development
58,plastic,2025-01-04 03:14:51,cloudy,4,0,development
59,paper,2025-01-04 23:07:34,cloudy,4,0,development
60,organic,2025-01-04 18:43:51,cloudy,4,0,development
61,plastic,2025-01-04 18:35:43,cloudy,4,0,development
62,paper,2025-01-04 21:55:49,cloudy,4,0,development
63,plastic,2025-01-04 09:44:04,cloudy,4,0,development
64,metal,2025-01-05 18:39:35,cloudy,0,0,development
65,metal,2025-01-05 06:54:35,cloudy,0,0,development
66,glass,2025-01-05 22:27:19,cloudy,0,0,development
67,paper,2025-01-05 18:17:05,cloudy,0,0,development
68,glass,2025-01-05 21:39:55,cloudy,0,0,development
69,paper,2025-01-05 16:18:41,cloudy,0,0,development
70,plastic,2025-01-05 21:23:36,cloudy,0,0,development
71,plastic,2025-01-05 01:08:22,cloudy,0,0,development
72,paper,2025-01-05 06:48:46,cloudy,0,0,development
73,plastic,2025-01-05 09:52:54,cloudy,0,0,development
74,glass,2025-01-05 12:11:37,cloudy,0,0,development
75,metal,2025-01-05 07:31:37,cloudy,0,0,development
76,paper,2025-01-05 23:41:00,cloudy,0,0,development
77,plastic,2025-01-05 11:01:07,cloudy,0,0,development
78,organic,2025-01-05 12:42:50,cloudy,0,0,development
79,plastic,2025-01-05 05:01:26,cloudy,0,0,development
80,organic,2025-01-05 04:27:50,cloudy,0,0,development
81,plastic,2025-01-05 00:36:47,cloudy,0,0,development
82,paper,2025-01-05 12:13:07,cloudy,0,0,development
83,glass,2025-01-05 15:13:55,cloudy,0,0,development
84,paper,2025-01-05 09:01:18,cloudy,0,0,development
85,paper,2025-01-06 01:01:22,cloudy,2,0,development
86,glass,2025-01-06 00:33:29,cloudy,2,0,development
87,glass,2025-01-06 03:57:11,cloudy,2,0,development
88,plastic,2025-01-06 05:50:04,cloudy,2,0,development
89,organic,2025-01-06 04:29:14,cloudy,2,0,development
90,paper,2025-01-06 16:53:23,cloudy,2,0,development
91,plastic,2025-01-06 09:52:22,cloudy,2,0,development
92,paper,2025-01-06 21:37:51,cloudy,2,0,development
93,organic,2025-01-06 08:51:35,cloudy,2,0,development
94,metal,2025-01-06 02:30:13,cloudy,2,0,development
95,organic,2025-01-06 04:26:40,cloudy,2,0,development
96,paper,2025-01-06 05:21:30,cloudy,2,0,development
97,paper,2025-01-06 18:16:46,cloudy,2,0,development
98,plastic,2025-01-06 00:20:28,cloudy,2,0,development
99,paper,2025-01-06 17:14:38,cloudy,2,0,development
100,plastic,2025-01-06 15:12:35,cloudy,2,0,development
101,plastic,2025-01-07 20:36:02,cloudy,2,0,development
102,plastic,2025-01-07 13:50:11,cloudy,2,0,development
103,plastic,2025-01-07 10:07:10,cloudy,2,0,development
104,metal,2025-01-07 23:09:23,cloudy,2,0,development
105,paper,2025-01-07 00:56:04,cloudy,2,0,development
106,plastic,2025-01-07 10:19:31,cloudy,2,0,development
107,organic,2025-01-07 05:58:30,cloudy,2,0,development
108,plastic,2025-01-07 04:57:51,cloudy,2,0,development
109,plastic,2025-01-07 07:03:41,cloudy,2,0,development
110,plastic,2025-01-07 05:22:47,cloudy,2,0,development
111,paper,2025-01-07 09:43:06,cloudy,2,0,development
112,glass,2025-01-07 16:12:05,cloudy,2,0,development
113,glass,2025-01-07 15:48:12,cloudy,2,0,development
114,plastic,2025-01-07 07:49:57,cloudy,2,0,development
115,glass,2025-01-07 19:12:29,cloudy,2,0,development
116,plastic,2025-01-07 00:09:30,cloudy,2,0,development
117,plastic,2025-01-08 18:16:32,cloudy,5,0,development
118,paper,2025-01-08 00:29:04,cloudy,5,0,development
119,organic,2025-01-08 08:32:10,cloudy,5,0,development
120,paper,2025-01-08 07:45:10,cloudy,5,0,development
121,metal,2025-01-08 10:24:47,cloudy,5,0,development
122,organic,2025-01-08 04:05:59,cloudy,5,0,development
123,plastic,2025-01-08 12:09:42,cloudy,5,0,development
124,plastic,2025-01-08 06:09:45,cloudy,5,0,development
125,glass,2025-01-08 03:43:00,cloudy,5,0,development
126,metal,2025-01-08 14:51:39,cloudy,5,0,development
127,paper,2025-01-08 09:29:19,cloudy,5,0,development
128,plastic,2025-01-08 04:25:13,cloudy,5,0,development
129,plastic,2025-01-08 13:18:18,cloudy,5,0,development
130,metal,2025-01-08 19:19:27,cloudy,5,0,development
131,metal,2025-01-08 11:31:59,cloudy,5,0,development
132,paper,2025-01-08 18:46:28,cloudy,5,0,development
133,plastic,2025-01-09 16:02:52,rainy,3,0,development
134,glass,2025-01-09 05:59:37,rainy,3,0,development
135,plastic,2025-01-09 07:03:06,rainy,3,0,development
136,paper,2025-01-10 11:31:38,stormy,3,0,development
137,metal,2025-01-11 12:11:30,misty,3,0,development
138,paper,2025-01-11 00:52:32,misty,3,0,development
139,plastic,2025-01-11 15:39:26,misty,3,0,development
140,organic,2025-01-11 20:34:39,misty,3,0,development
141,glass,2025-01-11 10:14:12,misty,3,0,development
142,organic,2025-01-11 16:24:08,misty,3,0,development
143,organic,2025-01-11 19:01:39,misty,3,0,development
144,plastic,2025-01-11 09:31:18,misty,3,0,development
145,plastic,2025-01-11 04:04:03,misty,3,0,development
146,plastic,2025-01-11 17:08:57,misty,3,0,development
147,organic,2025-01-11 22:35:35,misty,3,0,development
148,plastic,2025-01-11 01:30:12,misty,3,0,development
149,plastic,2025-01-12 11:13:24,cloudy,3,0,development
150,paper,2025-01-12 09:01:10,cloudy,3,0,development
151,plastic,2025-01-12 11:47:53,cloudy,3,0,development
152,plastic,2025-01-12 15:47:16,cloudy,3,0,development
153,plastic,2025-01-12 23:34:19,cloudy,3,0,development
154,paper,2025-01-12 03:24:24,cloudy,3,0,development
155,glass,2025-01-12 06:54:24,cloudy,3,0,development
156,metal,2025-01-12 17:01:21,cloudy,3,0,development
157,metal,2025-01-12 14:07:37,cloudy,3,0,development
158,paper,2025-01-12 15:56:45,cloudy,3,0,development
159,paper,2025-01-12 09:01:34,cloudy,3,0,development
160,plastic,2025-01-12 03:03:01,cloudy,3,0,development
161,metal,2025-01-12 02:23:48,cloudy,3,0,development
162,organic,2025-01-12 11:38:17,cloudy,3,0,development
163,paper,2025-01-12 09:16:21,cloudy,3,0,development
164,glass,2025-01-12 20:06:29,cloudy,3,0,development
165,glass,2025-01-12 09:07:03,cloudy,3,0,development
166,metal,2025-01-12 06:35:33,cloudy,3,0,development
167,metal,2025-01-12 05:43:23,cloudy,3,0,development
168,plastic,2025-01-12 14:03:31,cloudy,3,0,development
169,plastic,2025-01-12 04:10:58,cloudy,3,0,development
170,metal,2025-01-13 06:41:13,cloudy,2,0,development
171,plastic,2025-01-13 18:16:53,cloudy,2,0,development
172,organic,2025-01-13 02:11:37,cloudy,2,0,development
173,organic,2025-01-13 07:10:16,cloudy,2,0,development
174,plastic,2025-01-13 07:37:22,cloudy,2,0,development
175,glass,2025-01-13 05:25:38,cloudy,2,0,development
176,paper,2025-01-13 13:14:53,cloudy,2,0,development
177,organic,2025-01-13 06:17:30,cloudy,2,0,development
178,plastic,2025-01-13 04:03:37,cloudy,2,0,development
179,plastic,2025-01-13 19:34:33,cloudy,2,0,development
180,glass,2025-01-13 16:58:12,cloudy,2,0,development
181,plastic,2025-01-13 14:50:05,cloudy,2,0,development
182,organic,2025-01-13 01:51:53,cloudy,2,0,development
183,glass,2025-01-13 23:25:41,cloudy,2,0,development
184,paper,2025-01-13 21:59:20,cloudy,2,0,development
185,plastic,2025-01-13 07:00:09,cloudy,2,0,development
186,plastic,2025-01-14 17:14:11,cloudy,2,0,development
187,glass,2025-01-14 16:42:21,cloudy,2,0,development
188,paper,2025-01-14 23:36:48,cloudy,2,0,development
189,plastic,2025-01-14 20:09:27,cloudy,2,0,development
190,metal,2025-01-14 20:54:47,cloudy,2,0,development
191,plastic,2025-01-14 07:35:11,cloudy,2,0,development
192,organic,2025-01-14 16:30:26,cloudy,2,0,development
193,plastic,2025-01-14 23:27:58,cloudy,2,0,development
194,metal,2025-01-14 19:26:08,cloudy,2,0,development
195,plastic,2025-01-14 01:42:31,cloudy,2,0,development
196,plastic,2025-01-14 03:25:31,cloudy,2,0,development
197,plastic,2025-01-14 04:23:27,cloudy,2,0,development
198,plastic,2025-01-14 23:18:22,cloudy,2,0,development
199,plastic,2025-01-14 08:36:01,cloudy,2,0,development
200,metal,2025-01-14 01:37:35,cloudy,2,0,development
201,glass,2025-01-14 08:00:21,cloudy,2,0,development
202,plastic,2025-01-15 07:51:40,snowy,3,0,development
203,plastic,2025-01-16 04:44:08,snowy,5,0,development
204,plastic,2025-01-17 05:08:07,cloudy,4,0,development
205,glass,2025-01-17 18:09:33,cloudy,4,0,development
206,glass,2025-01-17 02:57:51,cloudy,4,0,development
207,glass,2025-01-17 14:28:25,cloudy,4,0,development
208,glass,2025-01-17 23:00:30,cloudy,4,0,development
209,paper,2025-01-17 13:58:23,cloudy,4,0,development
210,glass,2025-01-17 04:42:38,cloudy,4,0,development
211,paper,2025-01-17 10:50:40,cloudy,4,0,development
212,plastic,2025-01-17 01:48:09,cloudy,4,0,development
213,plastic,2025-01-17 06:44:30,cloudy,4,0,development
214,paper,2025-01-17 06:30:46,cloudy,4,0,development
215,organic,2025-01-17 12:37:43,cloudy,4,0,development
216,metal,2025-01-17 03:29:25,cloudy,4,0,development
217,organic,2025-01-17 06:56:42,cloudy,4,0,development
218,glass,2025-01-17 02:35:52,cloudy,4,0,development
219,plastic,2025-01-17 10:29:49,cloudy,4,0,development
220,organic,2025-01-18 10:01:35,snowy,4,0,development
221,plastic,2025-01-19 12:29:28,snowy,3,0,development
222,paper,2025-01-20 21:03:33,snowy,5,0,development
223,glass,2025-01-21 08:10:11,cloudy,6,0,development
224,organic,2025-01-21 13:29:59,cloudy,6,0,development
225,glass,2025-01-21 13:23:34,cloudy,6,0,development
226,plastic,2025-01-21 20:20:58,cloudy,6,0,development
227,organic,2025-01-21 22:56:51,cloudy,6,0,development
228,paper,2025-01-21 15:19:05,cloudy,6,0,development
229,paper,2025-01-21 15:18:15,cloudy,6,0,development
230,plastic,2025-01-21 19:31:16,cloudy,6,0,development
231,plastic,2025-01-21 02:10:10,cloudy,6,0,development
232,plastic,2025-01-21 07:06:58,cloudy,6,0,development
233,plastic,2025-01-21 01:16:04,cloudy,6,0,development
234,plastic,2025-01-21 17:41:48,cloudy,6,0,development
235,glass,2025-01-21 08:14:34,cloudy,6,0,development
236,paper,2025-01-21 15:02:17,cloudy,6,0,development
237,plastic,2025-01-21 03:43:58,cloudy,6,0,development
238,paper,2025-01-21 06:58:04,cloudy,6,0,development
239,organic,2025-01-21 17:26:35,cloudy,6,0,development
240,plastic,2025-01-21 17:01:48,cloudy,6,0,development
241,plastic,2025-01-21 07:40:46,cloudy,6,0,development
242,glass,2025-01-21 11:14:44,cloudy,6,0,development
243,organic,2025-01-21 21:27:54,cloudy,6,0,development
244,metal,2025-01-22 06:51:27,stormy,3,0,development
245,paper,2025-01-23 14:49:28,rainy,4,0,development
246,metal,2025-01-23 07:12:45,rainy,4,0,development
247,plastic,2025-01-23 09:23:08,rainy,4,0,development
248,organic,2025-01-24 06:15:56,cloudy,3,0,development
249,plastic,2025-01-24 16:38:40,cloudy,3,0,development
250,glass,2025-01-24 15:01:28,cloudy,3,0,development
251,paper,2025-01-24 12:00:02,cloudy,3,0,development
252,metal,2025-01-24 14:47:02,cloudy,3,0,development
253,plastic,2025-01-24 13:56:12,cloudy,3,0,development
254,glass,2025-01-24 14:56:45,cloudy,3,0,development
255,plastic,2025-01-24 11:55:17,cloudy,3,0,development
256,organic,2025-01-24 05:32:19,cloudy,3,0,development
257,plastic,2025-01-24 07:08:40,cloudy,3,0,development
258,plastic,2025-01-24 03:35:35,cloudy,3,0,development
259,glass,2025-01-24 14:13:45,cloudy,3,0,development
260,paper,2025-01-24 02:25:06,cloudy,3,0,development
261,plastic,2025-01-24 04:14:16,cloudy,3,0,development
262,metal,2025-01-24 21:13:39,cloudy,3,0,development
263,paper,2025-01-24 21:32:55,cloudy,3,0,development
264,glass,2025-01-25 12:03:11,misty,2,0,development
265,glass,2025-01-25 02:26:54,misty,2,0,development
266,organic,2025-01-25 06:03:25,misty,2,0,development
267,plastic,2025-01-25 12:42:23,misty,2,0,development
268,glass,2025-01-25 02:41:49,misty,2,0,development
269,plastic,2025-01-25 03:29:26,misty,2,0,development
270,glass,2025-01-25 12:41:02,misty,2,0,development
271,plastic,2025-01-25 09:44:04,misty,2,0,development
272,organic,2025-01-25 19:48:49,misty,2,0,development
273,glass,2025-01-25 17:11:24,misty,2,0,development
274,plastic,2025-01-25 19:11:38,misty,2,0,development
275,metal,2025-01-25 11:59:40,misty,2,0,development
276,plastic,2025-01-26 05:20:57,cloudy,4,0,development
277,plastic,2025-01-26 04:40:46,cloudy,4,0,development
278,metal,2025-01-26 05:46:15,cloudy,4,0,development
279,plastic,2025-01-26 00:43:57,cloudy,4,0,development
280,organic,2025-01-26 06:53:32,cloudy,4,0,development
281,glass,2025-01-26 21:59:42,cloudy,4,0,development
282,organic,2025-01-26 01:49:39,cloudy,4,0,development
283,glass,2025-01-26 12:33:31,cloudy,4,0,development
284,organic,2025-01-26 07:13:08,cloudy,4,0,development
285,plastic,2025-01-26 02:51:22,cloudy,4,0,development
286,paper,2025-01-26 12:06:51,cloudy,4,0,development
287,paper,2025-01-26 06:56:53,cloudy,4,0,development
288,glass,2025-01-26 23:50:55,cloudy,4,0,development
289,plastic,2025-01-26 05:35:35,cloudy,4,0,development
290,organic,2025-01-26 00:52:17,cloudy,4,0,development
291,glass,2025-01-26 14:22:02,cloudy,4,0,development
292,paper,2025-01-26 02:55:31,cloudy,4,0,development
293,plastic,2025-01-26 15:12:00,cloudy,4,0,development
294,organic,2025-01-26 00:48:10,cloudy,4,0,development
295,organic,2025-01-26 01:19:46,cloudy,4,0,development
296,paper,2025-01-26 03:47:33,cloudy,4,0,development
297,glass,2025-01-27 23:04:09,misty,1,0,development
298,paper,2025-01-27 04:44:14,misty,1,0,development
299,paper,2025-01-27 12:21:49,misty,1,0,development
300,metal,2025-01-27 21:07:09,misty,1,0,development
301,paper,2025-01-27 19:20:29,misty,1,0,development
302,organic,2025-01-27 06:36:07,misty,1,0,development
303,plastic,2025-01-27 04:01:25,misty,1,0,development
304,metal,2025-01-28 02:20:43,rainy,8,0,development
305,organic,2025-01-28 12:41:33,rainy,8,0,development
306,glass,2025-01-28 02:34:20,rainy,8,0,development
307,glass,2025-01-28 22:35:55,rainy,8,0,development
308,plastic,2025-01-28 11:49:14,rainy,8,0,development
309,organic,2025-01-28 14:12:22,rainy,8,0,development
310,organic,2025-01-28 18:26:20,rainy,8,0,development
311,organic,2025-01-29 23:15:19,sunny,2,0,development
312,metal,2025-01-29 14:34:47,sunny,2,0,development
313,metal,2025-01-29 19:14:45,sunny,2,0,development
314,glass,2025-01-29 08:02:49,sunny,2,0,development
315,plastic,2025-01-29 20:53:55,sunny,2,0,development
316,organic,2025-01-29 09:21:13,sunny,2,0,development
317,organic,2025-01-29 00:35:43,sunny,2,0,development
318,glass,2025-01-29 03:31:56,sunny,2,0,development
319,plastic,2025-01-29 11:01:03,sunny,2,0,development
320,glass,2025-01-29 05:12:40,sunny,2,0,development
321,plastic,2025-01-29 17:50:20,sunny,2,0,development
322,paper,2025-01-29 10:09:36,sunny,2,0,development
323,organic,2025-01-29 22:12:26,sunny,2,0,development
324,plastic,2025-01-29 05:30:11,sunny,2,0,development
325,plastic,2025-01-29 03:48:21,sunny,2,0,development
326,plastic,2025-01-29 03:54:19,sunny,2,0,development
327,plastic,2025-01-29 05:21:57,sunny,2,0,development
328,plastic,2025-01-29 04:05:45,sunny,2,0,development
329,glass,2025-01-29 05:20:08,sunny,2,0,development
330,plastic,2025-01-30 07:36:46,cloudy,3,0,development
331,organic,2025-01-30 03:16:48,cloudy,3,0,development
332,glass,2025-01-30 09:12:25,cloudy,3,0,development
333,plastic,2025-01-30 18:56:11,cloudy,3,0,development
334,glass,2025-01-30 11:31:49,cloudy,3,0,development
335,plastic,2025-01-30 12:50:01,cloudy,3,0,development
336,paper,2025-01-30 13:18:25,cloudy,3,0,development
337,glass,2025-01-30 17:59:57,cloudy,3,0,development
338,organic,2025-01-30 20:10:13,cloudy,3,0,development
339,metal,2025-01-30 10:15:18,cloudy,3,0,development
340,plastic,2025-01-30 06:37:02,cloudy,3,0,development
341,plastic,2025-01-30 01:09:55,cloudy,3,0,development
342,plastic,2025-01-30 03:45:54,cloudy,3,0,development
343,plastic,2025-01-30 21:44:35,cloudy,3,0,development
344,paper,2025-01-30 09:49:33,cloudy,3,0,development
345,plastic,2025-01-30 01:35:43,cloudy,3,0,development
346,paper,2025-01-31 23:49:43,rainy,0,0,development
347,metal,2025-01-31 03:16:31,rainy,0,0,development
348,organic,2025-01-31 08:30:12,rainy,0,0,development
349,plastic,2025-02-01 02:52:12,snowy,3,0,development
350,plastic,2025-02-02 13:16:02,rainy,4,0,development
351,organic,2025-02-02 08:04:31,rainy,4,0,development
352,organic,2025-02-02 18:27:35,rainy,4,0,development
353,plastic,2025-02-02 21:20:45,rainy,4,0,development
354,plastic,2025-02-02 16:14:59,rainy,4,0,development
355,paper,2025-02-02 21:36:29,rainy,4,0,development
356,plastic,2025-02-02 02:04:38,rainy,4,0,development
357,plastic,2025-02-03 01:14:10,rainy,3,0,development
358,glass,2025-02-03 01:48:29,rainy,3,0,development
359,plastic,2025-02-03 06:46:06,rainy,3,0,development
360,plastic,2025-02-04 09:40:27,rainy,3,0,development
361,organic,2025-02-04 05:20:26,rainy,3,0,development
362,plastic,2025-02-04 09:09:09,rainy,3,0,development
363,organic,2025-02-05 07:34:31,misty,5,0,development
364,plastic,2025-02-05 05:34:11,misty,5,0,development
365,plastic,2025-02-05 15:18:40,misty,5,0,development
366,plastic,2025-02-05 21:14:03,misty,5,0,development
367,plastic,2025-02-05 23:01:28,misty,5,0,development
368,metal,2025-02-05 15:50:36,misty,5,0,development
369,paper,2025-02-05 23:20:23,misty,5,0,development
370,paper,2025-02-06 07:10:44,misty,5,0,development
371,metal,2025-02-06 14:01:12,misty,5,0,development
372,metal,2025-02-06 16:39:38,misty,5,0,development
373,glass,2025-02-06 14:43:52,misty,5,0,development
374,plastic,2025-02-06 05:12:32,misty,5,0,development
375,paper,2025-02-06 17:29:13,misty,5,0,development
376,paper,2025-02-06 21:22:29,misty,5,0,development
377,organic,2025-02-07 01:06:41,stormy,1,0,development
378,metal,2025-02-08 02:08:17,snowy,2,0,development
379,metal,2025-02-09 12:54:51,stormy,2,0,development
380,organic,2025-02-10 00:44:42,misty,5,0,development
381,organic,2025-02-10 09:06:54,misty,5,0,development
382,plastic,2025-02-10 01:51:28,misty,5,0,development
383,paper,2025-02-10 15:07:47,misty,5,0,development
384,plastic,2025-02-10 00:20:39,misty,5,0,development
385,paper,2025-02-10 18:31:16,misty,5,0,development
386,paper,2025-02-10 19:51:51,misty,5,0,development
387,plastic,2025-02-11 19:48:48,misty,4,0,development
388,organic,2025-02-11 12:06:19,misty,4,0,development
389,plastic,2025-02-11 12:17:24,misty,4,0,development
390,metal,2025-02-11 07:06:59,misty,4,0,development
391,organic,2025-02-11 18:03:14,misty,4,0,development
392,organic,2025-02-11 12:20:49,misty,4,0,development
393,organic,2025-02-11 16:18:00,misty,4,0,development
394,glass,2025-02-12 15:38:17,cloudy,1,0,development
395,paper,2025-02-12 07:16:19,cloudy,1,0,development
396,organic,2025-02-12 19:19:39,cloudy,1,0,development
397,paper,2025-02-12 11:43:17,cloudy,1,0,development
398,glass,2025-02-12 18:13:22,cloudy,1,0,development
399,glass,2025-02-12 10:28:38,cloudy,1,0,development
400,glass,2025-02-12 21:46:11,cloudy,1,0,development
401,paper,2025-02-12 16:05:46,cloudy,1,0,development
402,plastic,2025-02-12 13:27:03,cloudy,1,0,development
403,plastic,2025-02-12 09:38:55,cloudy,1,0,development
404,organic,2025-02-12 10:28:08,cloudy,1,0,development
405,plastic,2025-02-12 11:00:18,cloudy,1,0,development
406,plastic,2025-02-12 19:27:00,cloudy,1,0,development
407,glass,2025-02-12 18:55:16,cloudy,1,0,development
408,organic,2025-02-12 19:20:27,cloudy,1,0,development
409,plastic,2025-02-12 15:22:00,cloudy,1,0,development
410,organic,2025-02-13 05:56:50,snowy,1,0,development
411,organic,2025-02-14 07:26:02,cloudy,0,0,development
412,plastic,2025-02-14 13:35:28,cloudy,0,0,development
413,metal,2025-02-14 13:33:51,cloudy,0,0,development
414,glass,2025-02-14 18:49:21,cloudy,0,0,development
415,organic,2025-02-14 12:47:12,cloudy,0,0,development
416,organic,2025-02-14 00:55:25,cloudy,0,0,development
417,paper,2025-02-14 02:49:41,cloudy,0,0,development
418,organic,2025-02-14 08:44:34,cloudy,0,0,development
419,plastic,2025-02-14 02:12:59,cloudy,0,0,development
420,organic,2025-02-14 16:35:29,cloudy,0,0,development
421,glass,2025-02-14 03:56:15,cloudy,0,0,development
422,plastic,2025-02-14 20:55:29,cloudy,0,0,development
423,metal,2025-02-14 14:31:25,cloudy,0,0,development
424,plastic,2025-02-14 19:56:45,cloudy,0,0,development
425,plastic,2025-02-14 06:12:06,cloudy,0,0,development
426,organic,2025-02-14 21:06:17,cloudy,0,0,development
427,metal,2025-02-15 19:41:39,snowy,6,0,development
428,plastic,2025-02-15 10:55:21,snowy,6,0,development
429,paper,2025-02-15 10:33:19,snowy,6,0,development
430,glass,2025-02-15 23:26:18,snowy,6,0,development
431,organic,2025-02-15 14:17:17,snowy,6,0,development
432,plastic,2025-02-15 21:03:23,snowy,6,0,development
433,organic,2025-02-16 19:17:13,stormy,6,0,development
434,plastic,2025-02-16 08:33:52,stormy,6,0,development
435,organic,2025-02-16 09:46:47,stormy,6,0,development
436,plastic,2025-02-16 22:46:24,stormy,6,0,development
437,metal,2025-02-16 07:33:32,stormy,6,0,development
438,plastic,2025-02-16 10:38:56,stormy,6,0,development
439,plastic,2025-02-17 12:36:18,rainy,4,0,development
440,organic,2025-02-17 11:02:27,rainy,4,0,development
441,paper,2025-02-17 08:25:54,rainy,4,0,development
442,paper,2025-02-18 19:43:29,cloudy,5,0,development
443,metal,2025-02-18 01:58:08,cloudy,5,0,development
444,plastic,2025-02-18 18:51:44,cloudy,5,0,development
445,paper,2025-02-18 20:26:27,cloudy,5,0,development
446,organic,2025-02-18 04:51:08,cloudy,5,0,development
447,paper,2025-02-18 17:59:57,cloudy,5,0,development
448,plastic,2025-02-18 13:16:25,cloudy,5,0,development
449,metal,2025-02-18 12:48:05,cloudy,5,0,development
450,metal,2025-02-18 09:57:09,cloudy,5,0,development
451,glass,2025-02-18 20:57:43,cloudy,5,0,development
452,plastic,2025-02-18 09:37:29,cloudy,5,0,development
453,organic,2025-02-18 16:17:06,cloudy,5,0,development
454,organic,2025-02-18 01:43:33,cloudy,5,0,development
455,plastic,2025-02-18 01:10:10,cloudy,5,0,development
456,paper,2025-02-18 19:32:14,cloudy,5,0,development
457,plastic,2025-02-18 07:07:02,cloudy,5,0,development
458,plastic,2025-02-19 16:09:48,snowy,2,0,development
459,plastic,2025-02-20 09:17:54,snowy,3,0,development
460,plastic,2025-02-21 23:30:35,sunny,5,0,development
461,plastic,2025-02-21 13:09:17,sunny,5,0,development
462,organic,2025-02-21 11:56:40,sunny,5,0,development
463,plastic,2025-02-21 23:01:21,sunny,5,0,development
464,organic,2025-02-21 04:43:57,sunny,5,0,development
465,metal,2025-02-21 13:04:23,sunny,5,0,development
466,plastic,2025-02-21 14:28:13,sunny,5,0,development
467,plastic,2025-02-21 06:48:39,sunny,5,0,development
468,plastic,2025-02-21 17:35:22,sunny,5,0,development
469,paper,2025-02-21 00:00:39,sunny,5,0,development
470,glass,2025-02-21 02:23:50,sunny,5,0,development
471,plastic,2025-02-21 10:56:52,sunny,5,0,development
472,plastic,2025-02-21 21:52:27,sunny,5,0,development
473,plastic,2025-02-21 14:16:27,sunny,5,0,development
474,paper,2025-02-21 02:14:52,sunny,5,0,development
475,organic,2025-02-21 09:14:37,sunny,5,0,development
476,paper,2025-02-21 16:59:24,sunny,5,0,development
477,plastic,2025-02-21 21:01:51,sunny,5,0,development
478,organic,2025-02-21 16:32:21,sunny,5,0,development
479,paper,2025-02-22 00:33:40,snowy,6,0,development
480,organic,2025-02-22 13:47:38,snowy,6,0,development
481,glass,2025-02-22 14:20:24,snowy,6,0,development
482,organic,2025-02-22 14:21:43,snowy,6,0,development
