id,type,timestamp,weather,temperature,isholiday,cameraid
187,glass,14-1-2025 16:42,cloudy,2,0,0
188,paper,14-1-2025 23:36,cloudy,2,0,0
189,plastic,14-1-2025 20:09,cloudy,2,0,0
190,metal,14-1-2025 20:54,cloudy,2,0,0
191,plastic,14-1-2025 07:35,cloudy,2,0,0
192,organic,14-1-2025 16:30,cloudy,2,0,0
193,plastic,14-1-2025 23:27,cloudy,2,0,0
194,metal,14-1-2025 19:26,cloudy,2,0,0
195,plastic,14-1-2025 01:42,cloudy,2,0,0
196,plastic,14-1-2025 03:25,cloudy,2,0,0
197,plastic,14-1-2025 04:23,cloudy,2,0,0
198,plastic,14-1-2025 23:18,cloudy,2,0,0
199,plastic,14-1-2025 08:36,cloudy,2,0,0
200,metal,14-1-2025 01:37,cloudy,2,0,0
201,glass,14-1-2025 08:00,cloudy,2,0,0
202,plastic,15-1-2025 07:51,snowy,3,0,0
203,plastic,16-1-2025 04:44,snowy,5,0,0
204,plastic,17-1-2025 05:08,cloudy,4,0,0
205,glass,17-1-2025 18:09,cloudy,4,0,0
206,glass,17-1-2025 02:57,cloudy,4,0,0
207,glass,17-1-2025 14:28,cloudy,4,0,0
208,glass,17-1-2025 23:00,cloudy,4,0,0
209,paper,17-1-2025 13:58,cloudy,4,0,0
210,glass,17-1-2025 04:42,cloudy,4,0,0
211,paper,17-1-2025 10:50,cloudy,4,0,0
212,plastic,17-1-2025 01:48,cloudy,4,0,0
213,plastic,17-1-2025 06:44,cloudy,4,0,0
214,paper,17-1-2025 06:30,cloudy,4,0,0
215,organic,17-1-2025 12:37,cloudy,4,0,0
216,metal,17-1-2025 03:29,cloudy,4,0,0
217,organic,17-1-2025 06:56,cloudy,4,0,0
218,glass,17-1-2025 02:35,cloudy,4,0,0
219,plastic,17-1-2025 10:29,cloudy,4,0,0
220,organic,18-1-2025 10:01,snowy,4,0,0
221,plastic,19-1-2025 12:29,snowy,3,0,0
222,paper,20-1-2025 21:03,snowy,5,0,0
223,glass,21-1-2025 08:10,cloudy,6,0,0
224,organic,21-1-2025 13:29,cloudy,6,0,0
225,glass,21-1-2025 13:23,cloudy,6,0,0
226,plastic,21-1-2025 20:20,cloudy,6,0,0
227,organic,21-1-2025 22:56,cloudy,6,0,0
228,paper,21-1-2025 15:19,cloudy,6,0,0
229,paper,21-1-2025 15:18,cloudy,6,0,0
230,plastic,21-1-2025 19:31,cloudy,6,0,0
231,plastic,21-1-2025 02:10,cloudy,6,0,0
232,plastic,21-1-2025 07:06,cloudy,6,0,0
233,plastic,21-1-2025 01:16,cloudy,6,0,0
234,plastic,21-1-2025 17:41,cloudy,6,0,0
235,glass,21-1-2025 08:14,cloudy,6,0,0
236,paper,21-1-2025 15:02,cloudy,6,0,0
237,plastic,21-1-2025 03:43,cloudy,6,0,0
238,paper,21-1-2025 06:58,cloudy,6,0,0
239,organic,21-1-2025 17:26,cloudy,6,0,0
240,plastic,21-1-2025 17:01,cloudy,6,0,0
241,plastic,21-1-2025 07:40,cloudy,6,0,0
242,glass,21-1-2025 11:14,cloudy,6,0,0
243,organic,21-1-2025 21:27,cloudy,6,0,0
244,metal,22-1-2025 06:51,stormy,3,0,0
245,paper,23-1-2025 14:49,rainy,4,0,0
246,metal,23-1-2025 07:12,rainy,4,0,0
247,plastic,23-1-2025 09:23,rainy,4,0,0
248,organic,24-1-2025 06:15,cloudy,3,0,0
249,plastic,24-1-2025 16:38,cloudy,3,0,0
250,glass,24-1-2025 15:01,cloudy,3,0,0
251,paper,24-1-2025 12:00,cloudy,3,0,0
252,metal,24-1-2025 14:47,cloudy,3,0,0
253,plastic,24-1-2025 13:56,cloudy,3,0,0
254,glass,24-1-2025 14:56,cloudy,3,0,0
255,plastic,24-1-2025 11:55,cloudy,3,0,0
256,organic,24-1-2025 05:32,cloudy,3,0,0
257,plastic,24-1-2025 07:08,cloudy,3,0,0
258,plastic,24-1-2025 03:35,cloudy,3,0,0
259,glass,24-1-2025 14:13,cloudy,3,0,0
260,paper,24-1-2025 02:25,cloudy,3,0,0
261,plastic,24-1-2025 04:14,cloudy,3,0,0
262,metal,24-1-2025 21:13,cloudy,3,0,0
263,paper,24-1-2025 21:32,cloudy,3,0,0
264,glass,25-1-2025 12:03,misty,2,0,0
265,glass,25-1-2025 02:26,misty,2,0,0
266,organic,25-1-2025 06:03,misty,2,0,0
267,plastic,25-1-2025 12:42,misty,2,0,0
268,glass,25-1-2025 02:41,misty,2,0,0
269,plastic,25-1-2025 03:29,misty,2,0,0
270,glass,25-1-2025 12:41,misty,2,0,0
271,plastic,25-1-2025 09:44,misty,2,0,0
272,organic,25-1-2025 19:48,misty,2,0,0
273,glass,25-1-2025 17:11,misty,2,0,0
274,plastic,25-1-2025 19:11,misty,2,0,0
275,metal,25-1-2025 11:59,misty,2,0,0
276,plastic,26-1-2025 05:20,cloudy,4,0,0
277,plastic,26-1-2025 04:40,cloudy,4,0,0
278,metal,26-1-2025 05:46,cloudy,4,0,0
279,plastic,26-1-2025 00:43,cloudy,4,0,0
280,organic,26-1-2025 06:53,cloudy,4,0,0
281,glass,26-1-2025 21:59,cloudy,4,0,0
282,organic,26-1-2025 01:49,cloudy,4,0,0
283,glass,26-1-2025 12:33,cloudy,4,0,0
284,organic,26-1-2025 07:13,cloudy,4,0,0
285,plastic,26-1-2025 02:51,cloudy,4,0,0
286,paper,26-1-2025 12:06,cloudy,4,0,0
287,paper,26-1-2025 06:56,cloudy,4,0,0
288,glass,26-1-2025 23:50,cloudy,4,0,0
289,plastic,26-1-2025 05:35,cloudy,4,0,0
290,organic,26-1-2025 00:52,cloudy,4,0,0
291,glass,26-1-2025 14:22,cloudy,4,0,0
292,paper,26-1-2025 02:55,cloudy,4,0,0
293,plastic,26-1-2025 15:12,cloudy,4,0,0
294,organic,26-1-2025 00:48,cloudy,4,0,0
295,organic,26-1-2025 01:19,cloudy,4,0,0
296,paper,26-1-2025 03:47,cloudy,4,0,0
297,glass,27-1-2025 23:04,misty,1,0,0
298,paper,27-1-2025 04:44,misty,1,0,0
299,paper,27-1-2025 12:21,misty,1,0,0
300,metal,27-1-2025 21:07,misty,1,0,0
301,paper,27-1-2025 19:20,misty,1,0,0
302,organic,27-1-2025 06:36,misty,1,0,0
303,plastic,27-1-2025 04:01,misty,1,0,0
304,metal,28-1-2025 02:20,rainy,8,0,0
305,organic,28-1-2025 12:41,rainy,8,0,0
306,glass,28-1-2025 02:34,rainy,8,0,0
307,glass,28-1-2025 22:35,rainy,8,0,0
308,plastic,28-1-2025 11:49,rainy,8,0,0
309,organic,28-1-2025 14:12,rainy,8,0,0
310,organic,28-1-2025 18:26,rainy,8,0,0
311,organic,29-1-2025 23:15,sunny,2,0,0
312,metal,29-1-2025 14:34,sunny,2,0,0
313,metal,29-1-2025 19:14,sunny,2,0,0
314,glass,29-1-2025 08:02,sunny,2,0,0
315,plastic,29-1-2025 20:53,sunny,2,0,0
316,organic,29-1-2025 09:21,sunny,2,0,0
317,organic,29-1-2025 00:35,sunny,2,0,0
318,glass,29-1-2025 03:31,sunny,2,0,0
319,plastic,29-1-2025 11:01,sunny,2,0,0
320,glass,29-1-2025 05:12,sunny,2,0,0
321,plastic,29-1-2025 17:50,sunny,2,0,0
322,paper,29-1-2025 10:09,sunny,2,0,0
323,organic,29-1-2025 22:12,sunny,2,0,0
324,plastic,29-1-2025 05:30,sunny,2,0,0
325,plastic,29-1-2025 03:48,sunny,2,0,0
326,plastic,29-1-2025 03:54,sunny,2,0,0
327,plastic,29-1-2025 05:21,sunny,2,0,0
328,plastic,29-1-2025 04:05,sunny,2,0,0
329,glass,29-1-2025 05:20,sunny,2,0,0
330,plastic,30-1-2025 07:36,cloudy,3,0,0
331,organic,30-1-2025 03:16,cloudy,3,0,0
332,glass,30-1-2025 09:12,cloudy,3,0,0
333,plastic,30-1-2025 18:56,cloudy,3,0,0
334,glass,30-1-2025 11:31,cloudy,3,0,0
335,plastic,30-1-2025 12:50,cloudy,3,0,0
336,paper,30-1-2025 13:18,cloudy,3,0,0
337,glass,30-1-2025 17:59,cloudy,3,0,0
338,organic,30-1-2025 20:10,cloudy,3,0,0
339,metal,30-1-2025 10:15,cloudy,3,0,0
340,plastic,30-1-2025 06:37,cloudy,3,0,0
341,plastic,30-1-2025 01:09,cloudy,3,0,0
342,plastic,30-1-2025 03:45,cloudy,3,0,0
343,plastic,30-1-2025 21:44,cloudy,3,0,0
344,paper,30-1-2025 09:49,cloudy,3,0,0
345,plastic,30-1-2025 01:35,cloudy,3,0,0
346,paper,31-1-2025 23:49,rainy,0,0,0
347,metal,31-1-2025 03:16,rainy,0,0,0
348,organic,31-1-2025 08:30,rainy,0,0,0
349,plastic,1-2-2025 02:52,snowy,3,0,0
350,plastic,2-2-2025 13:16,rainy,4,0,0
351,organic,2-2-2025 08:04,rainy,4,0,0
352,organic,2-2-2025 18:27,rainy,4,0,0
353,plastic,2-2-2025 21:20,rainy,4,0,0
354,plastic,2-2-2025 16:14,rainy,4,0,0
355,paper,2-2-2025 21:36,rainy,4,0,0
356,plastic,2-2-2025 02:04,rainy,4,0,0
357,plastic,3-2-2025 01:14,rainy,3,0,0
358,glass,3-2-2025 01:48,rainy,3,0,0
359,plastic,3-2-2025 06:46,rainy,3,0,0
360,plastic,4-2-2025 09:40,rainy,3,0,0
361,organic,4-2-2025 05:20,rainy,3,0,0
362,plastic,4-2-2025 09:09,rainy,3,0,0
363,organic,5-2-2025 07:34,misty,5,0,0
364,plastic,5-2-2025 05:34,misty,5,0,0
365,plastic,5-2-2025 15:18,misty,5,0,0
366,plastic,5-2-2025 21:14,misty,5,0,0
367,plastic,5-2-2025 23:01,misty,5,0,0
368,metal,5-2-2025 15:50,misty,5,0,0
369,paper,5-2-2025 23:20,misty,5,0,0
370,paper,6-2-2025 07:10,misty,5,0,0
371,metal,6-2-2025 14:01,misty,5,0,0
372,metal,6-2-2025 16:39,misty,5,0,0
373,glass,6-2-2025 14:43,misty,5,0,0
374,plastic,6-2-2025 05:12,misty,5,0,0
375,paper,6-2-2025 17:29,misty,5,0,0
376,paper,6-2-2025 21:22,misty,5,0,0
377,organic,7-2-2025 01:06,stormy,1,0,0
378,metal,8-2-2025 02:08,snowy,2,0,0
379,metal,9-2-2025 12:54,stormy,2,0,0
380,organic,10-2-2025 00:44,misty,5,0,0
381,organic,10-2-2025 09:06,misty,5,0,0
382,plastic,10-2-2025 01:51,misty,5,0,0
383,paper,10-2-2025 15:07,misty,5,0,0
384,plastic,10-2-2025 00:20,misty,5,0,0
385,paper,10-2-2025 18:31,misty,5,0,0
386,paper,10-2-2025 19:51,misty,5,0,0
387,plastic,11-2-2025 19:48,misty,4,0,0
388,organic,11-2-2025 12:06,misty,4,0,0
389,plastic,11-2-2025 12:17,misty,4,0,0
390,metal,11-2-2025 07:06,misty,4,0,0
391,organic,11-2-2025 18:03,misty,4,0,0
392,organic,11-2-2025 12:20,misty,4,0,0
393,organic,11-2-2025 16:18,misty,4,0,0
394,glass,12-2-2025 15:38,cloudy,1,0,0
395,paper,12-2-2025 07:16,cloudy,1,0,0
396,organic,12-2-2025 19:19,cloudy,1,0,0
397,paper,12-2-2025 11:43,cloudy,1,0,0
398,glass,12-2-2025 18:13,cloudy,1,0,0
399,glass,12-2-2025 10:28,cloudy,1,0,0
400,glass,12-2-2025 21:46,cloudy,1,0,0
401,paper,12-2-2025 16:05,cloudy,1,0,0
402,plastic,12-2-2025 13:27,cloudy,1,0,0
403,plastic,12-2-2025 09:38,cloudy,1,0,0
404,organic,12-2-2025 10:28,cloudy,1,0,0
405,plastic,12-2-2025 11:00,cloudy,1,0,0
406,plastic,12-2-2025 19:27,cloudy,1,0,0
407,glass,12-2-2025 18:55,cloudy,1,0,0
408,organic,12-2-2025 19:20,cloudy,1,0,0
409,plastic,12-2-2025 15:22,cloudy,1,0,0
410,organic,13-2-2025 05:56,snowy,1,0,0
411,organic,14-2-2025 07:26,cloudy,0,0,0
412,plastic,14-2-2025 13:35,cloudy,0,0,0
413,metal,14-2-2025 13:33,cloudy,0,0,0
414,glass,14-2-2025 18:49,cloudy,0,0,0
415,organic,14-2-2025 12:47,cloudy,0,0,0
416,organic,14-2-2025 00:55,cloudy,0,0,0
417,paper,14-2-2025 02:49,cloudy,0,0,0
418,organic,14-2-2025 08:44,cloudy,0,0,0
419,plastic,14-2-2025 02:12,cloudy,0,0,0
420,organic,14-2-2025 16:35,cloudy,0,0,0
421,glass,14-2-2025 03:56,cloudy,0,0,0
422,plastic,14-2-2025 20:55,cloudy,0,0,0
423,metal,14-2-2025 14:31,cloudy,0,0,0
424,plastic,14-2-2025 19:56,cloudy,0,0,0
425,plastic,14-2-2025 06:12,cloudy,0,0,0
426,organic,14-2-2025 21:06,cloudy,0,0,0
427,metal,15-2-2025 19:41,snowy,6,0,0
428,plastic,15-2-2025 10:55,snowy,6,0,0
429,paper,15-2-2025 10:33,snowy,6,0,0
430,glass,15-2-2025 23:26,snowy,6,0,0
431,organic,15-2-2025 14:17,snowy,6,0,0
432,plastic,15-2-2025 21:03,snowy,6,0,0
433,organic,16-2-2025 19:17,stormy,6,0,0
434,plastic,16-2-2025 08:33,stormy,6,0,0
435,organic,16-2-2025 09:46,stormy,6,0,0
436,plastic,16-2-2025 22:46,stormy,6,0,0
437,metal,16-2-2025 07:33,stormy,6,0,0
438,plastic,16-2-2025 10:38,stormy,6,0,0
439,plastic,17-2-2025 12:36,rainy,4,0,0
440,organic,17-2-2025 11:02,rainy,4,0,0
441,paper,17-2-2025 08:25,rainy,4,0,0
442,paper,18-2-2025 19:43,cloudy,5,0,0
443,metal,18-2-2025 01:58,cloudy,5,0,0
444,plastic,18-2-2025 18:51,cloudy,5,0,0
445,paper,18-2-2025 20:26,cloudy,5,0,0
446,organic,18-2-2025 04:51,cloudy,5,0,0
447,paper,18-2-2025 17:59,cloudy,5,0,0
448,plastic,18-2-2025 13:16,cloudy,5,0,0
449,metal,18-2-2025 12:48,cloudy,5,0,0
450,metal,18-2-2025 09:57,cloudy,5,0,0
451,glass,18-2-2025 20:57,cloudy,5,0,0
452,plastic,18-2-2025 09:37,cloudy,5,0,0
453,organic,18-2-2025 16:17,cloudy,5,0,0
454,organic,18-2-2025 01:43,cloudy,5,0,0
455,plastic,18-2-2025 01:10,cloudy,5,0,0
456,paper,18-2-2025 19:32,cloudy,5,0,0
457,plastic,18-2-2025 07:07,cloudy,5,0,0
458,plastic,19-2-2025 16:09,snowy,2,0,0
459,plastic,20-2-2025 09:17,snowy,3,0,0
460,plastic,21-2-2025 23:30,sunny,5,0,0
461,plastic,21-2-2025 13:09,sunny,5,0,0
462,organic,21-2-2025 11:56,sunny,5,0,0
463,plastic,21-2-2025 23:01,sunny,5,0,0
464,organic,21-2-2025 04:43,sunny,5,0,0
465,metal,21-2-2025 13:04,sunny,5,0,0
466,plastic,21-2-2025 14:28,sunny,5,0,0
467,plastic,21-2-2025 06:48,sunny,5,0,0
468,plastic,21-2-2025 17:35,sunny,5,0,0
469,paper,21-2-2025 00:00,sunny,5,0,0
470,glass,21-2-2025 02:23,sunny,5,0,0
471,plastic,21-2-2025 10:56,sunny,5,0,0
472,plastic,21-2-2025 21:52,sunny,5,0,0
473,plastic,21-2-2025 14:16,sunny,5,0,0
474,paper,21-2-2025 02:14,sunny,5,0,0
475,organic,21-2-2025 09:14,sunny,5,0,0
476,paper,21-2-2025 16:59,sunny,5,0,0
477,plastic,21-2-2025 21:01,sunny,5,0,0
478,organic,21-2-2025 16:32,sunny,5,0,0
479,paper,22-2-2025 00:33,snowy,6,0,0
480,organic,22-2-2025 13:47,snowy,6,0,0
481,glass,22-2-2025 14:20,snowy,6,0,0
482,organic,22-2-2025 14:21,snowy,6,0,0
483,paper,22-2-2025 02:15,snowy,6,0,0
484,organic,22-2-2025 16:22,snowy,6,0,0
485,plastic,23-2-2025 22:13,rainy,4,0,0
486,organic,23-2-2025 22:47,rainy,4,0,0
487,plastic,23-2-2025 17:38,rainy,4,0,0
488,plastic,23-2-2025 12:00,rainy,4,0,0
489,plastic,23-2-2025 00:22,rainy,4,0,0
490,plastic,23-2-2025 08:49,rainy,4,0,0
491,organic,23-2-2025 18:16,rainy,4,0,0
492,plastic,24-2-2025 20:24,cloudy,5,1,0
493,organic,24-2-2025 07:57,cloudy,5,1,0
494,plastic,24-2-2025 19:14,cloudy,5,1,0
495,glass,24-2-2025 14:08,cloudy,5,1,0
496,glass,24-2-2025 19:28,cloudy,5,1,0
497,plastic,24-2-2025 08:34,cloudy,5,1,0
498,plastic,24-2-2025 14:33,cloudy,5,1,0
499,glass,24-2-2025 06:37,cloudy,5,1,0
500,organic,24-2-2025 21:48,cloudy,5,1,0
501,plastic,24-2-2025 18:17,cloudy,5,1,0
502,plastic,24-2-2025 02:49,cloudy,5,1,0
503,metal,24-2-2025 07:37,cloudy,5,1,0
504,paper,24-2-2025 05:48,cloudy,5,1,0
505,plastic,24-2-2025 08:33,cloudy,5,1,0
506,plastic,24-2-2025 08:26,cloudy,5,1,0
507,glass,24-2-2025 16:50,cloudy,5,1,0
508,plastic,24-2-2025 21:39,cloudy,5,1,0
509,metal,24-2-2025 23:44,cloudy,5,1,0
510,paper,24-2-2025 02:48,cloudy,5,1,0
511,organic,24-2-2025 12:30,cloudy,5,1,0
512,glass,24-2-2025 12:19,cloudy,5,1,0
513,plastic,24-2-2025 04:11,cloudy,5,1,0
514,organic,24-2-2025 06:05,cloudy,5,1,0
515,plastic,24-2-2025 14:55,cloudy,5,1,0
516,plastic,24-2-2025 04:24,cloudy,5,1,0
517,plastic,24-2-2025 13:01,cloudy,5,1,0
518,metal,24-2-2025 03:35,cloudy,5,1,0
